heading_number,heading_text
1,"1
History"
2,"2
Techniques"
2.1,"2.1
Human copy-and-paste"
2.2,"2.2
Text pattern matching"
2.3,"2.3
HTTP programming"
2.4,"2.4
HTML parsing"
2.5,"2.5
DOM parsing"
2.6,"2.6
Vertical aggregation"
2.7,"2.7
Semantic annotation recognizing"
2.8,"2.8
Computer vision web-page analysis"
2.9,"2.9
AI-powered document understanding"
3,"3
Legal issues"
3.1,"3.1
United States"
3.2,"3.2
European Union"
3.3,"3.3
Australia"
3.4,"3.4
India"
4,"4
Methods to prevent web scraping"
5,"5
See also"
6,"6
References"
